tf,GC_real,GC_shuf,dGC,detector_AUC
ATF3,0.5903,0.5903,+0.0000,0.6079
CTCF,0.6492,0.6492,+0.0000,0.7951
ELF1,0.6887,0.6887,+0.0000,0.6149
EP300,0.4781,0.4781,+0.0000,0.7883
ETS1,0.6450,0.6450,+0.0000,0.6612
EZH2,0.4939,0.4939,+0.0000,0.7383
FOSL1,0.5457,0.5457,+0.0000,0.8061
FOXA1,0.4254,0.4254,+0.0000,0.8319
FOXA2,0.4276,0.4276,+0.0000,0.8517
GATA1,0.5470,0.5470,+0.0000,0.7644
GATA2,0.4735,0.4735,+0.0000,0.8592
HNF4A,0.5083,0.5083,+0.0000,0.8475
JUN,0.5370,0.5370,+0.0000,0.8059
MXI1,0.6246,0.6246,+0.0000,0.5664
MYC,0.6684,0.6684,+0.0000,0.6601
NRF1,0.6643,0.6643,+0.0000,0.6746
POLR2A,0.6601,0.6601,+0.0000,0.6566
RBBP5,0.6900,0.6900,+0.0000,0.6379
REST,0.5921,0.5921,+0.0000,0.8062
SAP30,0.6568,0.6568,+0.0000,0.6464
SP2,0.6498,0.6498,+0.0000,0.7033
SPI1,0.5049,0.5049,+0.0000,0.8264
STAT3,0.4232,0.4232,+0.0000,0.7830
TAF1,0.6481,0.6481,+0.0000,0.6544
TCF7L2,0.5310,0.5310,+0.0000,0.7652
USF1,0.6285,0.6285,+0.0000,0.6388
YY1,0.6421,0.6421,+0.0000,0.6548
ZBTB33,0.6060,0.6060,+0.0000,0.6254
ZNF143,0.6096,0.6096,+0.0000,0.6652
ARID3A,0.4042,0.4042,+0.0000,0.7247
FOXM1,0.4635,0.4635,+0.0000,0.7813
GABPA,0.6582,0.6582,+0.0000,0.7064
GATA3,0.4267,0.4267,+0.0000,0.8106
JUND,0.4988,0.4988,+0.0000,0.8329
MAX,0.6684,0.6684,+0.0000,0.5956
SP1,0.6081,0.6081,+0.0000,0.7153
MEAN,,,,0.7251
