data_type,dataset_tf,comparison,diff,q_stat,p_adj,ci_low,ci_high,significant
in_distribution,ARID3A,MoE - ARID3A,-0.06450168888888896,-86.57740515813973,0.0,-0.06724810749305779,-0.06175527028472013,True
in_distribution,ARID3A,MoE - FOXM1,0.017169199999999996,23.04536222612289,0.0,0.014422781395831166,0.019915618604168826,True
in_distribution,ARID3A,MoE - GATA3,0.02185786666666667,29.338726022390727,0.0,0.01911144806249784,0.0246042852708355,True
in_distribution,FOXM1,MoE - ARID3A,0.11844282222222213,229.24526279427613,0.0,0.1165382011344678,0.12034744330997646,True
in_distribution,FOXM1,MoE - FOXM1,-0.003914088888888889,-7.575691959197014,2.5842556925503857e-06,-0.005818709976643211,-0.0020094678011345676,True
in_distribution,FOXM1,MoE - GATA3,0.08528582222222225,165.07011873861822,0.0,0.08338120113446792,0.08719044330997658,True
in_distribution,GATA3,MoE - ARID3A,0.009366711111111203,12.167067910724652,2.204902926905561e-13,0.006528782900172472,0.012204639322049935,True
in_distribution,GATA3,MoE - FOXM1,0.013934888888888941,18.100989496557695,0.0,0.01109696067795021,0.016772817099827673,True
in_distribution,GATA3,MoE - GATA3,-0.05061464444444452,-65.74685702671155,0.0,-0.05345257265538325,-0.047776716233505795,True
out_of_distribution,BCLAF1,MoE - ARID3A,0.08216117777777787,136.92763090005843,0.0,0.07994922539529227,0.08437313016026347,True
out_of_distribution,BCLAF1,MoE - FOXM1,0.017313755555555477,28.85464393678821,0.0,0.015101803173069868,0.019525707938041086,True
out_of_distribution,BCLAF1,MoE - GATA3,0.09072751111111121,151.2040539085756,0.0,0.08851555872862561,0.09293946349359682,True
out_of_distribution,CTCF,MoE - ARID3A,0.1886657777777776,198.17907831737713,0.0,0.18515635623699422,0.19217519931856097,True
out_of_distribution,CTCF,MoE - FOXM1,-0.028254511111111325,-29.67921917934434,0.0,-0.03176393265189469,-0.02474508957032796,True
out_of_distribution,CTCF,MoE - GATA3,0.2294804222222221,241.05176414903198,0.0,0.22597100068143872,0.23298984376300547,True
out_of_distribution,POLR2A,MoE - ARID3A,0.08491953333333357,128.35414968647362,0.0,0.0824806114169369,0.08735845524973025,True
out_of_distribution,POLR2A,MoE - FOXM1,0.009486177777777938,14.338165021020751,0.0,0.007047255861381257,0.011925099694174619,True
out_of_distribution,POLR2A,MoE - GATA3,0.06792797777777781,102.67175860899286,0.0,0.06548905586138114,0.07036689969417449,True
out_of_distribution,RBBP5,MoE - ARID3A,0.04509799999999986,81.28671493438303,0.0,0.043052789936301544,0.04714321006369818,True
out_of_distribution,RBBP5,MoE - FOXM1,0.010360555555555706,18.674343119568444,0.0,0.008315345491857388,0.012405765619254024,True
out_of_distribution,RBBP5,MoE - GATA3,0.03303215555555561,59.538680480567955,0.0,0.030986945491857293,0.035077365619253925,True
out_of_distribution,SAP30,MoE - ARID3A,0.05036833333333346,89.31150768336501,0.0,0.04828935304771631,0.05244731361895061,True
out_of_distribution,SAP30,MoE - FOXM1,0.009923955555555586,17.59683861254174,0.0,0.007844975269938433,0.012002935841172738,True
out_of_distribution,SAP30,MoE - GATA3,0.04504362222222247,79.86990130412501,0.0,0.04296464193660532,0.04712260250783962,True
out_of_distribution,STAT3,MoE - ARID3A,0.008039977777777874,9.516083453905594,4.0939110990123595e-09,0.004925416945547243,0.011154538610008504,True
out_of_distribution,STAT3,MoE - FOXM1,0.02099215555555567,24.8462259057695,0.0,0.01787759472332504,0.0241067163877863,True
out_of_distribution,STAT3,MoE - GATA3,0.0353084222222223,41.79089815659502,0.0,0.032193861389991675,0.03842298305445293,True
