data_type,dataset_tf,F,df_between,df_within,p,eta2,omega2,best_model,moe_rank,mean_MoE,mean_ARID3A,mean_FOXM1,mean_GATA3,diff_vs_ARID3A,paired_ci_low_ARID3A,paired_ci_high_ARID3A,diff_vs_FOXM1,paired_ci_low_FOXM1,paired_ci_high_FOXM1,diff_vs_GATA3,paired_ci_low_GATA3,paired_ci_high_GATA3
in_distribution,ARID3A,12381.110523189993,3,3996,0.0,0.9028666765466903,0.9027718093803926,ARID3A,4/4,0.555396526432813,0.6916943358114723,0.5695238183982372,0.5992781094468547,-0.1362978093786593,-0.17445465177804173,-0.10043313489690912,-0.014127291965424138,-0.02083840594918633,-0.007531655516161568,-0.043881583014041534,-0.08324713092378584,-0.005780822299274541
in_distribution,FOXM1,8380.254125408374,3,3996,0.0,0.8628536709603454,0.8627210988835647,FOXM1,2/4,0.6473501476034833,0.5742908772383087,0.6714589126874284,0.5730541554784998,0.07305927036517437,0.035078147150638866,0.11095367625358657,-0.024108765083945195,-0.03008035017098755,-0.01829766996869355,0.07429599212498339,0.03392280544462739,0.11379751955364475
in_distribution,GATA3,9945.945681095543,3,3996,0.0,0.8818933839845723,0.8817786533186903,GATA3,3/4,0.5971079907380139,0.5952222883725815,0.6088848516074015,0.7117232911207564,0.0018857023654325386,-0.03255706778690676,0.038196146931328126,-0.011776860869387668,-0.01732787814015039,-0.006170079640404467,-0.11461530038274248,-0.15165084121680025,-0.07629232271141691
out_of_distribution,BCLAF1,8917.333183544528,3,3996,0.0,0.8700403259269054,0.8699144668621396,FOXM1,2/4,0.6678136493808031,0.5991860437618876,0.6732034196618922,0.5675663560923272,0.06862760561891572,0.02863953708408677,0.10930271859611661,-0.005389770281089096,-0.01147651034384314,0.0008440648295752751,0.10024729328847587,0.0614868589510254,0.13899521149260793
out_of_distribution,CTCF,104103.89431696075,3,3996,0.0,0.9873667311438004,0.9873541252086929,ARID3A,3/4,0.720353363455803,0.8970043034082655,0.7786696101306645,0.5332973538887261,-0.17665093995246248,-0.20688172408514874,-0.14913094409033464,-0.05831624667486146,-0.06650340702567552,-0.05035031785281801,0.1870560095670768,0.15027644064606904,0.22597213294347374
out_of_distribution,POLR2A,13446.198540839998,3,3996,0.0,0.9098672279764696,0.9097790399827574,FOXM1,2/4,0.6478019318759913,0.5312785148574555,0.648818559207453,0.5372559929279327,0.1165234170185359,0.0737577459081555,0.16057355766114836,-0.0010166273314617565,-0.008385905854943074,0.005609300827229959,0.11054593894805867,0.06960164947897013,0.15392217667729202
out_of_distribution,RBBP5,4630.211007560267,3,3996,0.0,0.7765929454172312,0.7763818167038555,FOXM1,2/4,0.6163173950232947,0.5405264419658622,0.6174209515860689,0.5579284905746502,0.07579095305743261,0.036209630151718866,0.11595449219057033,-0.0011035565627742542,-0.007707197162297508,0.004939897452509418,0.05838890444864445,0.017179632172927697,0.09890848195020896
out_of_distribution,SAP30,7622.358013691646,3,3996,0.0,0.8512456171661538,0.8511022567208514,FOXM1,2/4,0.6302814032101447,0.5555531423790012,0.6360365531573182,0.5424626606265679,0.07472826083114362,0.03080890979114282,0.1158127660373882,-0.005755149947173489,-0.012250078920080471,0.0009305596545355947,0.08781874258357693,0.04188412222896393,0.1324045778608118
out_of_distribution,STAT3,1774.2302571037987,3,3996,0.0,0.5711843972436424,0.5708012102383143,FOXM1,2/4,0.6283716714707762,0.6247283911526997,0.6389072827905246,0.5862348731339952,0.003643280318076357,-0.031039907768309227,0.03450445044504444,-0.010535611319748412,-0.016497345416149382,-0.004786683950529123,0.04213679833678093,0.004202456950713094,0.07777938347953997
