data_type,dataset_tf,model,mean_auc,std_auc,ci95_low,ci95_high
in_distribution,ARID3A,MoE,0.710293771941891,0.01627925515483902,0.6787108103174888,0.7422680394141252
in_distribution,ARID3A,ARID3A,0.7547497195678934,0.015432514977438408,0.7247629598752633,0.784982232448504
in_distribution,ARID3A,FOXM1,0.59037150353832,0.017539265993902157,0.5552813211252846,0.6223322060567241
in_distribution,ARID3A,GATA3,0.601462086355936,0.0180632993835051,0.5635548283293206,0.6355600350630148
in_distribution,FOXM1,MoE,0.687410054694922,0.01635355369401197,0.6561182190603316,0.7205032581453635
in_distribution,FOXM1,ARID3A,0.5753014052738956,0.01703070645832211,0.5419993418092618,0.6089807854045239
in_distribution,FOXM1,FOXM1,0.7252250381995478,0.015749774735550195,0.6944457470272685,0.7570940643690913
in_distribution,FOXM1,GATA3,0.588582434027225,0.018559055228618865,0.5530667675099308,0.6245139893578764
in_distribution,GATA3,MoE,0.7219929598020516,0.01619032819887774,0.6887591658639262,0.7542743324887428
in_distribution,GATA3,ARID3A,0.6216496699504597,0.01778865290338516,0.58669007599744,0.6559583300323925
in_distribution,GATA3,FOXM1,0.6145016874670582,0.017877493998132835,0.5792961379257069,0.6492911667140041
in_distribution,GATA3,GATA3,0.7807068940852683,0.014462377765412811,0.7508204658465569,0.8085917925457023
out_of_distribution,BCLAF1,MoE,0.6782498019115737,0.01642867663218688,0.6458291234577779,0.70956404599653
out_of_distribution,BCLAF1,ARID3A,0.606453288312679,0.01735044282112387,0.5739679602725146,0.6430441960771298
out_of_distribution,BCLAF1,FOXM1,0.6767391821635704,0.01648061470546682,0.6443595749915484,0.7070153666244731
out_of_distribution,BCLAF1,GATA3,0.5510655013017842,0.017792726174554026,0.5153757159170662,0.5848277577415745
out_of_distribution,CTCF,MoE,0.8924497330933145,0.009928961655473087,0.8722584321157062,0.9112503633605157
out_of_distribution,CTCF,ARID3A,0.8944367243583359,0.009797240789943068,0.8742896458002287,0.9126516421139667
out_of_distribution,CTCF,FOXM1,0.8776032259872054,0.010806650939972117,0.8559516728236811,0.8982710954196964
out_of_distribution,CTCF,GATA3,0.5701149540841429,0.01795684361907279,0.5356212473314191,0.6042197502725185
out_of_distribution,POLR2A,MoE,0.6260081698244687,0.01789020967566999,0.5917583758375837,0.6609260860341591
out_of_distribution,POLR2A,ARID3A,0.5504184510715229,0.017970267718028253,0.5155556535908153,0.5846716568906507
out_of_distribution,POLR2A,FOXM1,0.6386185459705821,0.017877276648422303,0.6041765608114202,0.6725422395323974
out_of_distribution,POLR2A,GATA3,0.5558303915291853,0.018639013225205822,0.5195655287884521,0.5935792038297452
out_of_distribution,RBBP5,MoE,0.6396491459896754,0.016864293718884666,0.6062124674745324,0.6743869670294171
out_of_distribution,RBBP5,ARID3A,0.5737492565600765,0.017563718602917194,0.5379423193754468,0.6065375617330742
out_of_distribution,RBBP5,FOXM1,0.6422485674319444,0.01671829227612603,0.6095427763296704,0.6766309217874257
out_of_distribution,RBBP5,GATA3,0.5828693775054334,0.018236682825713113,0.5467435561551032,0.6185755996082464
out_of_distribution,SAP30,MoE,0.6310929989468513,0.017007327765384272,0.5978379889295397,0.6639374083266245
out_of_distribution,SAP30,ARID3A,0.579570403117735,0.017394999681506842,0.545544102674258,0.6144575518190587
out_of_distribution,SAP30,FOXM1,0.6268001161349545,0.016920384729127318,0.5943584268988188,0.6582313003126352
out_of_distribution,SAP30,GATA3,0.543906189476815,0.018509701768657048,0.5057484729662608,0.5810790830037349
out_of_distribution,STAT3,MoE,0.63001546410639,0.017484860238745768,0.5944671440580656,0.6641384042174455
out_of_distribution,STAT3,ARID3A,0.5997747645870832,0.017745908488634547,0.5645749751099631,0.6343409340891975
out_of_distribution,STAT3,FOXM1,0.6266846017221618,0.017355701232113163,0.5924536720906748,0.660602116447031
out_of_distribution,STAT3,GATA3,0.57342576000246,0.017488823685470615,0.5386413738229768,0.6080752449880827
